ds,y
2010-12-01,108
2010-12-02,288
2010-12-03,38
2010-12-05,36
2010-12-07,39
2010-12-08,144
2010-12-09,1394
2010-12-10,219
2010-12-12,36
2010-12-13,36
2010-12-15,36
2010-12-16,82
2010-12-17,73
2010-12-20,73
2010-12-22,108
2011-01-06,576
2011-01-07,72
2011-01-10,111
2011-01-12,72
2011-01-14,36
2011-01-17,36
2011-01-18,2
2011-01-24,36
2011-01-26,37
2011-01-27,72
2011-01-28,648
2011-01-31,216
2011-02-02,72
2011-02-04,253
2011-02-07,36
2011-02-08,36
2011-02-09,36
2011-02-10,108
2011-02-16,72
2011-02-17,36
2011-02-21,36
2011-02-22,72
2011-02-23,36
2011-02-24,36
2011-03-02,36
2011-03-04,72
2011-03-07,901
2011-03-08,72
2011-03-09,144
2011-03-10,72
2011-03-11,36
2011-03-13,36
2011-03-14,612
2011-03-15,36
2011-03-17,72
2011-03-20,72
2011-03-21,36
2011-03-22,72
2011-03-23,72
2011-03-25,72
2011-03-28,36
2011-03-29,67
2011-03-30,36
2011-03-31,216
2011-04-01,36
2011-04-03,36
2011-04-07,72
2011-04-08,252
2011-04-12,72
2011-04-13,36
2011-04-14,72
2011-04-15,36
2011-04-18,584
2011-04-19,72
2011-04-20,36
2011-04-21,108
2011-04-26,72
2011-04-27,36
2011-04-28,36
2011-05-01,36
2011-05-03,36
2011-05-06,72
2011-05-08,108
2011-05-09,3
2011-05-10,108
2011-05-11,72
2011-05-12,576
2011-05-13,36
2011-05-16,36
2011-05-17,1
2011-05-19,36
2011-05-20,360
2011-05-22,36
2011-05-23,144
2011-05-25,36
2011-05-26,108
2011-05-31,36
2011-06-01,36
2011-06-05,36
2011-06-06,36
2011-06-08,72
2011-06-09,253
2011-06-13,36
2011-06-14,36
2011-06-15,576
2011-06-16,74
2011-06-17,39
2011-06-21,38
2011-06-22,144
2011-06-23,37
2011-06-28,36
2011-07-01,36
2011-07-04,72
2011-07-05,216
2011-07-07,144
2011-07-11,576
2011-07-12,108
2011-07-14,74
2011-07-15,36
2011-07-18,144
2011-07-19,252
2011-07-25,36
2011-07-26,36
2011-07-27,144
2011-07-31,36
2011-08-01,36
2011-08-03,108
2011-08-04,111
2011-08-05,36
2011-08-11,108
2011-08-12,36
2011-08-14,36
2011-08-15,36
2011-08-16,108
2011-08-18,612
2011-08-21,36
2011-08-22,36
2011-08-23,36
2011-08-24,108
2011-08-25,36
2011-08-26,36
2011-08-28,72
2011-08-30,2
2011-09-01,1224
2011-09-02,2
2011-09-04,108
2011-09-05,36
2011-09-07,38
2011-09-08,46
2011-09-09,36
2011-09-11,36
2011-09-12,180
2011-09-13,649
2011-09-14,36
2011-09-15,36
2011-09-16,36
2011-09-19,36
2011-09-20,36
2011-09-21,111
2011-09-22,113
2011-09-23,2
2011-09-25,36
2011-09-26,108
2011-09-27,72
2011-09-28,36
2011-09-29,108
2011-09-30,252
2011-10-03,4
2011-10-04,576
2011-10-06,180
2011-10-10,108
2011-10-11,41
2011-10-13,36
2011-10-14,72
2011-10-17,578
2011-10-18,72
2011-10-19,72
2011-10-20,612
2011-10-24,72
2011-10-25,324
2011-10-27,108
2011-10-28,252
2011-10-30,36
