ds,y
2010-12-01,78
2010-12-02,11
2010-12-03,93
2010-12-05,36
2010-12-06,34
2010-12-07,33
2010-12-08,117
2010-12-09,34
2010-12-10,47
2010-12-12,18
2010-12-13,24
2010-12-14,36
2010-12-15,59
2010-12-16,51
2010-12-17,15
2010-12-19,2
2010-12-20,12
2010-12-21,21
2010-12-22,10
2010-12-23,1
2011-01-04,20
2011-01-05,100
2011-01-06,294
2011-01-07,25
2011-01-09,23
2011-01-10,30
2011-01-11,21
2011-01-12,4
2011-01-13,134
2011-01-14,341
2011-01-16,112
2011-01-17,6
2011-01-18,5
2011-01-19,102
2011-01-20,15
2011-01-24,33
2011-01-25,38
2011-01-26,38
2011-01-27,42
2011-01-28,20
2011-01-31,185
2011-02-01,129
2011-02-02,35
2011-02-03,16
2011-02-04,52
2011-02-07,22
2011-02-08,24
2011-02-09,140
2011-02-10,14
2011-02-11,42
2011-02-13,13
2011-02-14,46
2011-02-15,21
2011-02-16,60
2011-02-17,53
2011-02-18,107
2011-02-20,4
2011-02-21,111
2011-02-22,25
2011-02-23,23
2011-02-24,31
2011-02-25,177
2011-02-27,2
2011-02-28,11
2011-03-01,102
2011-03-02,10
2011-03-03,26
2011-03-04,20
2011-03-06,6
2011-03-07,1
2011-03-08,65
2011-03-09,21
2011-03-10,36
2011-03-11,25
2011-03-14,152
2011-03-15,13
2011-03-16,4
2011-03-17,42
2011-03-18,14
2011-03-20,53
2011-03-21,75
2011-03-22,43
2011-03-23,21
2011-03-24,35
2011-03-25,205
2011-03-28,76
2011-03-29,206
2011-03-30,157
2011-03-31,97
2011-04-01,40
2011-04-03,11
2011-04-04,42
2011-04-05,2
2011-04-06,84
2011-04-07,17
2011-04-08,80
2011-04-10,22
2011-04-11,94
2011-04-12,61
2011-04-13,34
2011-04-14,40
2011-04-15,73
2011-04-17,3
2011-04-18,143
2011-04-19,36
2011-04-20,85
2011-04-21,104
2011-04-26,62
2011-04-27,69
2011-04-28,23
2011-05-01,10
2011-05-03,75
2011-05-04,1
2011-05-05,38
2011-05-06,140
2011-05-08,35
2011-05-09,113
2011-05-10,73
2011-05-11,160
2011-05-12,432
2011-05-13,91
2011-05-15,16
2011-05-16,108
2011-05-17,59
2011-05-18,22
2011-05-19,83
2011-05-20,120
2011-05-22,53
2011-05-23,64
2011-05-24,66
2011-05-25,107
2011-05-26,263
2011-05-27,176
2011-05-29,8
2011-05-31,42
2011-06-01,11
2011-06-02,26
2011-06-03,41
2011-06-05,64
2011-06-06,20
2011-06-07,195
2011-06-08,236
2011-06-09,54
2011-06-10,55
2011-06-12,25
2011-06-13,11
2011-06-14,25
2011-06-15,168
2011-06-16,47
2011-06-17,84
2011-06-19,113
2011-06-20,27
2011-06-21,65
2011-06-22,22
2011-06-23,50
2011-06-24,41
2011-06-26,33
2011-06-27,25
2011-06-28,139
2011-06-29,3
2011-06-30,58
2011-07-01,32
2011-07-03,46
2011-07-04,194
2011-07-05,27
2011-07-06,39
2011-07-07,10
2011-07-08,158
2011-07-10,12
2011-07-11,45
2011-07-12,40
2011-07-13,38
2011-07-14,43
2011-07-15,12
2011-07-17,53
2011-07-18,63
2011-07-19,286
2011-07-20,25
2011-07-21,30
2011-07-22,68
2011-07-24,124
2011-07-25,42
2011-07-26,59
2011-07-27,70
2011-07-28,141
2011-07-29,49
2011-07-31,24
2011-08-01,54
2011-08-02,259
2011-08-03,34
2011-08-04,246
2011-08-05,6
2011-08-07,4
2011-08-08,157
2011-08-09,91
2011-08-10,175
2011-08-11,218
2011-08-12,71
2011-08-14,13
2011-08-15,40
2011-08-16,120
2011-08-17,122
2011-08-18,95
2011-08-19,30
2011-08-21,26
2011-08-22,55
2011-08-23,127
2011-08-24,40
2011-08-25,80
2011-08-26,20
2011-08-28,19
2011-08-30,21
2011-08-31,31
2011-09-01,55
2011-09-02,57
2011-09-04,38
2011-09-05,209
2011-09-06,66
2011-09-07,160
2011-09-08,10
2011-09-09,57
2011-09-11,22
2011-09-12,42
2011-09-13,51
2011-09-14,122
2011-09-15,87
2011-09-16,25
2011-09-18,2
2011-09-19,301
2011-09-20,37
2011-09-21,15
2011-09-22,53
2011-09-23,46
2011-09-25,40
2011-09-26,3
2011-09-27,57
2011-09-28,89
2011-09-29,105
2011-09-30,64
2011-10-03,41
2011-10-04,79
2011-10-05,90
2011-10-06,60
2011-10-07,50
2011-10-09,2
2011-10-10,36
2011-10-11,114
2011-10-12,52
2011-10-13,75
2011-10-14,160
2011-10-16,6
2011-10-17,22
2011-10-18,65
2011-10-19,26
2011-10-20,110
2011-10-21,39
2011-10-23,14
2011-10-24,8
2011-10-25,37
2011-10-26,52
2011-10-27,45
2011-10-28,94
2011-10-30,78
2011-10-31,10
2011-11-01,6
2011-11-02,117
2011-11-03,30
2011-11-04,38
