ds,y
2010-12-01,40
2010-12-02,616
2010-12-03,60
2010-12-05,13
2010-12-06,81
2010-12-07,15
2010-12-08,109
2010-12-09,25
2010-12-10,53
2010-12-12,36
2010-12-13,13
2010-12-14,60
2010-12-16,121
2010-12-17,23
2010-12-19,6
2010-12-20,89
2010-12-21,1297
2010-12-23,37
2011-01-04,1
2011-01-06,48
2011-01-07,13
2011-01-09,48
2011-01-11,39
2011-01-12,2
2011-01-16,60
2011-01-17,6
2011-01-18,1
2011-01-19,26
2011-01-20,15
2011-01-21,25
2011-01-23,12
2011-01-24,1
2011-01-25,24
2011-01-27,144
2011-02-01,60
2011-02-02,20
2011-02-04,888
2011-02-07,72
2011-02-08,35
2011-02-09,48
2011-02-10,456
2011-02-14,4
2011-02-16,456
2011-02-17,43
2011-02-18,511
2011-02-21,9
2011-02-22,24
2011-02-23,36
2011-02-24,49
2011-02-28,14
2011-03-03,96
2011-03-04,12
2011-03-07,1
2011-03-08,1311
2011-03-09,48
2011-03-10,48
2011-03-13,12
2011-03-14,12
2011-03-15,36
2011-03-17,3
2011-03-18,84
2011-03-20,1321
2011-03-21,26
2011-03-22,34
2011-03-23,1
2011-03-24,72
2011-03-25,1
2011-03-28,24
2011-03-29,143
2011-03-30,180
2011-03-31,180
2011-04-01,36
2011-04-03,869
2011-04-05,536
2011-04-06,2
2011-04-07,60
2011-04-08,12
2011-04-11,12
2011-04-12,36
2011-04-13,84
2011-04-14,96
2011-04-15,120
2011-04-17,54
2011-04-18,92
2011-04-21,1
2011-04-26,132
2011-04-27,48
2011-04-28,36
2011-05-05,36
2011-05-06,68
2011-05-08,24
2011-05-09,1
2011-05-10,61
2011-05-11,24
2011-05-12,40
2011-05-13,4
2011-05-16,49
2011-05-17,27
2011-05-18,108
2011-05-19,936
2011-05-23,12
2011-05-24,72
2011-05-31,14
2011-06-01,6
2011-06-02,12
2011-06-05,48
2011-06-07,14
2011-06-08,7
2011-06-09,1
2011-06-12,24
2011-06-13,504
2011-06-15,24
2011-06-16,48
2011-06-17,876
2011-06-19,60
2011-06-20,25
2011-06-21,14
2011-06-23,217
2011-06-26,24
2011-06-27,6
2011-06-28,432
2011-06-29,1
2011-06-30,86
2011-07-03,12
2011-07-04,13
2011-07-05,12
2011-07-06,1
2011-07-07,217
2011-07-08,24
2011-07-10,12
2011-07-11,19
2011-07-12,29
2011-07-13,1
2011-07-15,5
2011-07-17,24
2011-07-18,96
2011-07-19,48
2011-07-20,689
2011-07-21,24
2011-07-22,12
2011-07-24,67
2011-07-25,11
2011-07-26,1
2011-07-27,99
2011-07-28,12
2011-07-29,48
2011-07-31,1
2011-08-01,1
2011-08-03,648
2011-08-04,1021
2011-08-05,41
2011-08-07,4
2011-08-09,12
2011-08-10,62
2011-08-11,37
2011-08-12,26
2011-08-14,1
2011-08-15,24
2011-08-16,48
2011-08-17,64
2011-08-18,12
2011-08-21,1
2011-08-22,51
2011-08-23,300
2011-08-24,26
2011-08-25,24
2011-08-26,12
2011-08-30,16
2011-08-31,13
2011-09-01,456
2011-09-05,2
2011-09-07,24
2011-09-08,24
2011-09-09,12
2011-09-11,14
2011-09-12,84
2011-09-13,55
2011-09-15,12
2011-09-16,12
2011-09-18,37
2011-09-21,17
2011-09-22,111
2011-09-23,133
2011-09-25,30
2011-09-27,144
2011-09-28,1
2011-09-29,432
2011-10-03,115
2011-10-04,15
2011-10-05,192
2011-10-06,144
2011-10-07,59
2011-10-10,15
2011-10-11,24
2011-10-13,2
2011-10-14,12
2011-10-16,12
2011-10-17,18
2011-10-18,24
2011-10-19,12
2011-10-20,12
2011-10-21,600
2011-10-24,37
2011-10-25,36
2011-10-26,1
2011-10-27,27
2011-10-28,192
2011-10-31,4
2011-11-01,48
