ds,y
2010-12-01,122
2010-12-02,144
2010-12-03,133
2010-12-05,10
2010-12-06,56
2010-12-07,9
2010-12-08,57
2010-12-09,33
2010-12-10,75
2010-12-12,2
2010-12-13,36
2010-12-14,53
2010-12-15,24
2010-12-16,168
2010-12-17,267
2010-12-19,1
2010-12-20,507
2010-12-21,27
2011-01-04,3
2011-01-05,74
2011-01-06,26
2011-01-07,28
2011-01-09,48
2011-01-10,77
2011-01-12,4
2011-01-13,24
2011-01-14,2
2011-01-17,25
2011-01-18,2
2011-01-19,2
2011-01-20,1
2011-01-21,124
2011-01-24,32
2011-01-25,51
2011-01-26,4
2011-01-27,54
2011-01-30,3
2011-01-31,174
2011-02-01,103
2011-02-02,3
2011-02-03,504
2011-02-04,3
2011-02-06,24
2011-02-07,24
2011-02-08,3
2011-02-09,24
2011-02-10,24
2011-02-14,30
2011-02-15,181
2011-02-16,25
2011-02-17,57
2011-02-18,171
2011-02-21,30
2011-02-22,89
2011-02-24,48
2011-02-25,48
2011-02-27,24
2011-02-28,125
2011-03-02,72
2011-03-03,49
2011-03-04,27
2011-03-06,3
2011-03-07,49
2011-03-08,183
2011-03-09,76
2011-03-10,352
2011-03-11,24
2011-03-14,528
2011-03-15,29
2011-03-16,96
2011-03-17,3
2011-03-18,391
2011-03-20,80
2011-03-21,55
2011-03-22,56
2011-03-23,78
2011-03-24,207
2011-03-25,11
2011-03-27,1
2011-03-28,77
2011-03-29,76
2011-03-30,121
2011-03-31,53
2011-04-01,48
2011-04-03,11
2011-04-04,2
2011-04-05,53
2011-04-06,1
2011-04-07,5
2011-04-08,96
2011-04-10,2
2011-04-11,421
2011-04-12,81
2011-04-13,168
2011-04-14,72
2011-04-15,5
2011-04-17,4
2011-04-18,76
2011-04-19,51
2011-04-20,1046
2011-04-21,148
2011-04-26,150
2011-04-27,9
2011-04-28,96
2011-05-03,50
2011-05-04,48
2011-05-05,50
2011-05-06,322
2011-05-08,85
2011-05-09,2
2011-05-10,191
2011-05-11,52
2011-05-12,136
2011-05-13,97
2011-05-15,20
2011-05-16,29
2011-05-17,78
2011-05-19,3
2011-05-20,28
2011-05-22,35
2011-05-23,2724
2011-05-24,25
2011-05-25,26
2011-05-26,2
2011-05-27,48
2011-05-31,4
2011-06-01,7
2011-06-02,7
2011-06-03,1
2011-06-05,1
2011-06-06,48
2011-06-07,52
2011-06-08,4
2011-06-09,202
2011-06-10,2
2011-06-12,29
2011-06-13,51
2011-06-14,28
2011-06-15,266
2011-06-16,48
2011-06-17,72
2011-06-19,6
2011-06-20,27
2011-06-21,2
2011-06-22,444
2011-06-23,72
2011-06-27,39
2011-06-28,24
2011-06-29,49
2011-06-30,24
2011-07-03,24
2011-07-04,48
2011-07-05,49
2011-07-06,7
2011-07-07,12
2011-07-08,1
2011-07-11,9
2011-07-12,8
2011-07-13,27
2011-07-14,51
2011-07-15,72
2011-07-17,24
2011-07-18,28
2011-07-19,624
2011-07-20,27
2011-07-21,49
2011-07-22,3
2011-07-24,600
2011-07-25,175
2011-07-26,78
2011-07-27,51
2011-07-28,100
2011-07-29,72
2011-07-31,266
2011-08-01,49
2011-08-02,24
2011-08-03,78
2011-08-04,72
2011-08-07,48
2011-08-08,25
2011-08-09,149
2011-08-11,26
2011-08-12,48
2011-08-15,4
2011-08-16,24
2011-08-17,24
2011-08-18,792
2011-08-19,24
2011-08-21,11
2011-08-22,24
2011-08-23,698
2011-08-24,150
2011-08-28,4
2011-08-30,4
2011-08-31,5
2011-09-01,48
2011-09-02,147
2011-09-04,1
2011-09-05,49
2011-09-06,4
2011-09-07,26
2011-09-08,79
2011-09-09,144
2011-09-11,362
2011-09-12,48
2011-09-13,700
2011-09-14,28
2011-09-15,11
2011-09-18,3
2011-09-19,48
2011-09-20,105
2011-09-21,124
2011-09-22,72
2011-09-23,52
2011-09-25,1
2011-09-26,29
2011-09-27,72
2011-09-28,36
2011-09-29,72
2011-10-02,4
2011-10-03,26
2011-10-04,2
2011-10-05,674
2011-10-06,74
2011-10-07,99
2011-10-09,2
2011-10-10,33
2011-10-11,27
2011-10-12,24
2011-10-13,133
2011-10-14,29
2011-10-16,24
2011-10-17,30
2011-10-18,7
2011-10-19,24
2011-10-20,56
2011-10-23,1
2011-10-24,5
2011-10-25,28
2011-10-27,11
2011-10-28,50
2011-10-30,4
2011-10-31,51
2011-11-01,27
2011-11-02,3
2011-11-03,27
2011-11-04,2
