ds,y
2010-12-01,69
2010-12-02,24
2010-12-03,14
2010-12-06,125
2010-12-07,155
2010-12-08,54
2010-12-09,50
2010-12-10,123
2010-12-12,18
2010-12-13,310
2010-12-14,36
2010-12-15,111
2010-12-16,72
2010-12-17,64
2010-12-20,95
2010-12-21,23
2010-12-23,12
2011-01-04,27
2011-01-05,43
2011-01-06,158
2011-01-07,156
2011-01-09,12
2011-01-10,1
2011-01-11,156
2011-01-12,12
2011-01-13,16
2011-01-14,19
2011-01-17,138
2011-01-18,39
2011-01-19,18
2011-01-20,12
2011-01-21,36
2011-01-23,96
2011-01-24,3
2011-01-25,234
2011-01-26,24
2011-01-27,29
2011-01-28,25
2011-01-30,18
2011-01-31,108
2011-02-01,120
2011-02-02,192
2011-02-03,23
2011-02-04,24
2011-02-06,15
2011-02-07,20
2011-02-08,27
2011-02-09,37
2011-02-10,12
2011-02-11,128
2011-02-13,18
2011-02-14,26
2011-02-15,15
2011-02-16,24
2011-02-17,54
2011-02-18,12
2011-02-20,2
2011-02-21,4
2011-02-22,16
2011-02-23,16
2011-02-24,204
2011-02-25,246
2011-02-27,24
2011-02-28,62
2011-03-01,224
2011-03-02,24
2011-03-03,40
2011-03-04,19
2011-03-06,37
2011-03-07,125
2011-03-08,63
2011-03-09,36
2011-03-10,25
2011-03-11,39
2011-03-13,2
2011-03-14,6
2011-03-15,12
2011-03-16,156
2011-03-17,303
2011-03-18,50
2011-03-20,127
2011-03-21,195
2011-03-22,154
2011-03-23,39
2011-03-24,54
2011-03-25,24
2011-03-27,60
2011-03-28,71
2011-03-29,242
2011-03-30,401
2011-03-31,179
2011-04-01,54
2011-04-03,5
2011-04-04,82
2011-04-05,30
2011-04-06,153
2011-04-07,57
2011-04-08,147
2011-04-10,24
2011-04-11,150
2011-04-12,48
2011-04-13,6
2011-04-14,326
2011-04-15,36
2011-04-17,60
2011-04-18,227
2011-04-19,94
2011-04-20,204
2011-04-21,120
2011-04-26,2
2011-04-27,69
2011-04-28,24
2011-05-03,283
2011-05-04,18
2011-05-05,101
2011-05-06,154
2011-05-08,44
2011-05-09,156
2011-05-10,54
2011-05-11,57
2011-05-12,194
2011-05-13,33
2011-05-15,102
2011-05-16,27
2011-05-17,360
2011-05-18,36
2011-05-19,58
2011-05-20,174
2011-05-22,108
2011-05-23,73
2011-05-24,108
2011-05-25,202
2011-05-26,18
2011-05-27,207
2011-05-31,41
2011-06-01,47
2011-06-02,37
2011-06-03,254
2011-06-05,360
2011-06-06,34
2011-06-07,150
2011-06-08,134
2011-06-09,75
2011-06-10,68
2011-06-12,82
2011-06-13,42
2011-06-14,116
2011-06-15,34
2011-06-16,18
2011-06-19,66
2011-06-20,24
2011-06-21,44
2011-06-22,24
2011-06-23,6
2011-06-24,12
2011-06-26,12
2011-06-27,14
2011-06-28,192
2011-06-29,105
2011-06-30,23
2011-07-01,12
2011-07-03,3
2011-07-04,139
2011-07-05,40
2011-07-06,2
2011-07-07,322
2011-07-08,63
2011-07-10,24
2011-07-11,12
2011-07-12,14
2011-07-13,29
2011-07-14,63
2011-07-17,36
2011-07-18,16
2011-07-19,60
2011-07-20,168
2011-07-21,120
2011-07-22,8
2011-07-24,160
2011-07-25,22
2011-07-26,16
2011-07-27,49
2011-07-28,29
2011-07-29,96
2011-07-31,24
2011-08-01,96
2011-08-02,83
2011-08-03,366
2011-08-04,177
2011-08-05,102
2011-08-08,16
2011-08-10,18
2011-08-11,159
2011-08-12,115
2011-08-15,12
2011-08-16,24
2011-08-17,168
2011-08-18,48
2011-08-19,36
2011-08-21,30
2011-08-22,144
2011-08-23,50
2011-08-24,34
2011-08-25,144
2011-08-26,36
2011-08-28,48
2011-08-30,34
2011-08-31,202
2011-09-01,96
2011-09-02,161
2011-09-05,11
2011-09-06,108
2011-09-07,85
2011-09-08,6
2011-09-09,6
2011-09-11,14
2011-09-12,99
2011-09-13,54
2011-09-14,18
2011-09-15,41
2011-09-16,24
2011-09-18,12
2011-09-19,98
2011-09-20,46
2011-09-21,88
2011-09-22,66
2011-09-23,13
2011-09-25,114
2011-09-26,5
2011-09-27,6
2011-09-28,30
2011-09-29,24
2011-09-30,25
2011-10-03,986
2011-10-04,30
2011-10-05,222
2011-10-06,132
2011-10-07,97
2011-10-09,16
2011-10-10,38
2011-10-11,72
2011-10-12,1
2011-10-13,6
2011-10-14,186
2011-10-17,29
2011-10-18,20
2011-10-19,102
2011-10-20,42
2011-10-21,18
2011-10-24,28
2011-10-25,42
2011-10-26,966
2011-10-27,18
2011-10-28,78
2011-10-30,114
2011-10-31,77
2011-11-01,27
2011-11-02,118
2011-11-03,12
2011-11-04,102
2011-11-06,23
