ds,y
2010-12-01,78
2010-12-02,168
2010-12-03,30
2010-12-05,9
2010-12-06,57
2010-12-07,30
2010-12-08,77
2010-12-09,61
2010-12-10,34
2010-12-12,7
2010-12-13,43
2010-12-14,128
2010-12-15,24
2010-12-16,232
2010-12-17,1
2010-12-19,1
2010-12-20,482
2010-12-21,77
2010-12-23,48
2011-01-04,6
2011-01-05,29
2011-01-06,81
2011-01-07,24
2011-01-09,30
2011-01-10,38
2011-01-11,31
2011-01-12,51
2011-01-13,24
2011-01-14,30
2011-01-16,120
2011-01-18,120
2011-01-19,124
2011-01-21,6
2011-01-23,24
2011-01-24,30
2011-01-25,58
2011-01-26,48
2011-01-27,9
2011-01-28,3
2011-01-30,24
2011-01-31,224
2011-02-01,16
2011-02-02,52
2011-02-03,60
2011-02-04,29
2011-02-06,4
2011-02-07,48
2011-02-08,9
2011-02-11,2
2011-02-13,24
2011-02-14,51
2011-02-15,27
2011-02-17,36
2011-02-18,145
2011-02-21,14
2011-02-22,26
2011-02-23,31
2011-02-24,48
2011-02-25,75
2011-02-28,26
2011-03-02,72
2011-03-03,25
2011-03-04,3
2011-03-06,8
2011-03-07,159
2011-03-08,73
2011-03-09,72
2011-03-10,264
2011-03-11,29
2011-03-13,1
2011-03-14,26
2011-03-15,15
2011-03-16,384
2011-03-17,52
2011-03-18,29
2011-03-20,32
2011-03-21,61
2011-03-22,67
2011-03-23,57
2011-03-24,25
2011-03-25,26
2011-03-27,3
2011-03-28,77
2011-03-29,423
2011-03-30,2
2011-03-31,80
2011-04-01,146
2011-04-03,8
2011-04-04,50
2011-04-05,54
2011-04-06,64
2011-04-07,5
2011-04-08,73
2011-04-10,25
2011-04-11,181
2011-04-12,52
2011-04-14,120
2011-04-15,108
2011-04-17,16
2011-04-18,57
2011-04-19,26
2011-04-20,1069
2011-04-21,30
2011-04-26,48
2011-04-27,28
2011-04-28,146
2011-05-01,24
2011-05-03,28
2011-05-04,30
2011-05-05,25
2011-05-06,153
2011-05-08,29
2011-05-09,31
2011-05-10,77
2011-05-11,97
2011-05-12,266
2011-05-13,49
2011-05-15,12
2011-05-16,26
2011-05-17,48
2011-05-18,48
2011-05-19,2
2011-05-20,78
2011-05-22,30
2011-05-23,10
2011-05-24,28
2011-05-25,25
2011-05-26,120
2011-05-27,105
2011-05-29,13
2011-05-31,24
2011-06-01,2
2011-06-02,9
2011-06-03,1
2011-06-05,100
2011-06-06,28
2011-06-08,27
2011-06-09,11
2011-06-10,4
2011-06-12,20
2011-06-13,4
2011-06-14,27
2011-06-15,177
2011-06-16,48
2011-06-17,48
2011-06-20,61
2011-06-21,3
2011-06-23,28
2011-06-26,2
2011-06-27,3
2011-06-28,24
2011-06-29,133
2011-06-30,24
2011-07-03,1
2011-07-04,1
2011-07-05,556
2011-07-06,2
2011-07-07,86
2011-07-11,30
2011-07-12,5
2011-07-13,26
2011-07-14,72
2011-07-18,8
2011-07-19,24
2011-07-20,37
2011-07-22,49
2011-07-24,6
2011-07-25,56
2011-07-26,30
2011-07-27,146
2011-07-28,74
2011-07-29,72
2011-07-31,24
2011-08-01,25
2011-08-02,49
2011-08-03,32
2011-08-04,48
2011-08-05,90
2011-08-07,4
2011-08-08,122
2011-08-09,145
2011-08-10,25
2011-08-12,48
2011-08-15,54
2011-08-17,48
2011-08-18,492
2011-08-19,48
2011-08-21,6
2011-08-23,41
2011-08-24,17
2011-08-26,96
2011-08-28,1
2011-08-30,4
2011-08-31,28
2011-09-01,48
2011-09-02,27
2011-09-04,34
2011-09-05,296
2011-09-07,2
2011-09-08,33
2011-09-09,145
2011-09-11,434
2011-09-13,654
2011-09-15,28
2011-09-16,48
2011-09-18,3
2011-09-19,147
2011-09-20,52
2011-09-21,145
2011-09-22,29
2011-09-23,29
2011-09-25,24
2011-09-26,73
2011-09-28,41
2011-09-29,52
2011-09-30,48
2011-10-02,6
2011-10-03,28
2011-10-05,25
2011-10-06,3
2011-10-07,101
2011-10-10,35
2011-10-11,6
2011-10-12,48
2011-10-13,98
2011-10-14,6
2011-10-17,296
2011-10-19,25
2011-10-20,408
2011-10-24,3
2011-10-25,52
2011-10-27,14
2011-10-28,340
2011-10-30,31
2011-10-31,26
2011-11-01,1
2011-11-02,27
2011-11-03,120
