ds,y
2010-12-01,39
2010-12-02,36
2010-12-05,723
2010-12-06,185
2010-12-07,3
2010-12-09,39
2010-12-10,36
2010-12-13,17
2010-12-15,36
2010-12-16,36
2010-12-17,1
2011-01-05,828
2011-01-09,36
2011-01-10,2
2011-01-12,6
2011-01-17,3
2011-01-18,720
2011-01-19,36
2011-01-20,72
2011-01-26,1440
2011-01-31,38
2011-02-01,36
2011-02-02,72
2011-02-14,36
2011-02-15,36
2011-02-17,38
2011-02-18,36
2011-02-20,144
2011-03-01,108
2011-03-02,36
2011-03-09,144
2011-03-13,108
2011-03-15,36
2011-03-16,720
2011-03-17,720
2011-03-18,720
2011-03-21,12
2011-03-23,36
2011-03-29,756
2011-04-03,13
2011-04-05,110
2011-04-06,36
2011-04-11,1
2011-04-14,36
2011-04-15,36
2011-04-19,7
2011-04-21,4
2011-04-26,15
2011-04-27,108
2011-04-28,144
2011-05-03,6
2011-05-04,36
2011-05-06,36
2011-05-09,24
2011-05-12,144
2011-05-13,342
2011-05-16,36
2011-05-18,756
2011-05-23,720
2011-05-24,1
2011-05-25,72
2011-05-31,36
2011-06-01,324
2011-06-07,85
2011-06-08,756
2011-06-09,36
2011-06-12,36
2011-06-15,720
2011-06-19,117
2011-06-21,144
2011-06-22,720
2011-06-27,14
2011-06-29,38
2011-07-01,36
2011-07-04,180
2011-07-06,36
2011-07-07,30
2011-07-10,72
2011-07-12,36
2011-07-14,36
2011-07-15,216
2011-07-17,724
2011-07-19,144
2011-07-20,36
2011-07-21,1
2011-07-24,108
2011-07-26,149
2011-08-01,72
2011-08-02,1
2011-08-03,36
2011-08-05,1
2011-08-07,36
2011-08-10,36
2011-08-11,36
2011-08-12,72
2011-08-16,42
2011-08-18,36
2011-08-23,108
2011-08-24,760
2011-08-25,36
2011-08-28,36
2011-08-30,2
2011-08-31,180
2011-09-01,108
2011-09-02,1
2011-09-07,72
2011-09-08,108
2011-09-14,1
2011-09-15,72
2011-09-16,36
2011-09-19,720
2011-09-22,108
2011-09-25,29
2011-09-26,108
2011-09-28,760
2011-09-29,36
2011-10-02,27
2011-10-03,36
2011-10-05,36
2011-10-07,252
2011-10-09,52
2011-10-10,36
2011-10-14,36
2011-10-18,108
