ds,y
2010-12-01,241
2010-12-02,459
2010-12-03,254
2010-12-05,21
2010-12-06,141
2010-12-07,261
2010-12-08,134
2010-12-09,77
2010-12-10,486
2010-12-12,5
2010-12-13,33
2010-12-14,188
2010-12-15,194
2010-12-17,249
2010-12-20,991
2010-12-21,300
2010-12-22,24
2010-12-23,48
2011-01-04,25
2011-01-05,24
2011-01-06,80
2011-01-07,171
2011-01-09,24
2011-01-10,28
2011-01-11,169
2011-01-12,179
2011-01-13,73
2011-01-14,170
2011-01-17,2
2011-01-18,73
2011-01-19,1540
2011-01-20,1
2011-01-21,129
2011-01-23,8
2011-01-24,170
2011-01-25,151
2011-01-26,169
2011-01-27,47
2011-01-28,16
2011-01-30,4
2011-01-31,158
2011-02-01,148
2011-02-02,2
2011-02-03,160
2011-02-04,90
2011-02-07,50
2011-02-08,58
2011-02-09,53
2011-02-10,26
2011-02-11,134
2011-02-13,26
2011-02-14,102
2011-02-15,144
2011-02-16,27
2011-02-17,43
2011-02-18,197
2011-02-20,13
2011-02-21,47
2011-02-22,339
2011-02-23,82
2011-02-24,74
2011-02-25,76
2011-02-27,100
2011-02-28,104
2011-03-01,120
2011-03-02,121
2011-03-03,25
2011-03-04,199
2011-03-06,120
2011-03-07,86
2011-03-08,229
2011-03-09,97
2011-03-10,336
2011-03-11,64
2011-03-13,2
2011-03-14,555
2011-03-15,100
2011-03-16,360
2011-03-17,27
2011-03-18,35
2011-03-20,226
2011-03-21,53
2011-03-22,59
2011-03-23,125
2011-03-24,211
2011-03-25,51
2011-03-27,28
2011-03-28,50
2011-03-29,524
2011-03-30,78
2011-03-31,94
2011-04-01,30
2011-04-03,9
2011-04-04,295
2011-04-05,98
2011-04-06,162
2011-04-07,13
2011-04-08,76
2011-04-10,25
2011-04-11,131
2011-04-12,86
2011-04-13,24
2011-04-14,240
2011-04-15,65
2011-04-17,54
2011-04-18,208
2011-04-19,79
2011-04-20,1108
2011-04-21,26
2011-04-26,139
2011-04-27,53
2011-04-28,99
2011-05-01,24
2011-05-03,116
2011-05-04,56
2011-05-05,146
2011-05-06,392
2011-05-08,78
2011-05-09,105
2011-05-10,97
2011-05-11,52
2011-05-12,1236
2011-05-13,128
2011-05-15,29
2011-05-16,129
2011-05-17,38
2011-05-18,217
2011-05-19,50
2011-05-20,29
2011-05-22,136
2011-05-23,63
2011-05-24,98
2011-05-25,27
2011-05-26,24
2011-05-27,136
2011-05-29,12
2011-05-31,47
2011-06-01,25
2011-06-02,78
2011-06-03,3
2011-06-05,76
2011-06-06,48
2011-06-07,173
2011-06-08,124
2011-06-09,78
2011-06-10,160
2011-06-12,36
2011-06-13,1
2011-06-14,38
2011-06-15,409
2011-06-16,122
2011-06-17,139
2011-06-19,147
2011-06-20,57
2011-06-21,36
2011-06-22,26
2011-06-23,59
2011-06-26,3
2011-06-27,36
2011-06-28,53
2011-06-29,7
2011-06-30,2
2011-07-01,24
2011-07-03,1
2011-07-04,97
2011-07-05,378
2011-07-06,32
2011-07-07,564
2011-07-08,35
2011-07-10,6
2011-07-11,27
2011-07-12,73
2011-07-13,29
2011-07-14,27
2011-07-15,73
2011-07-17,24
2011-07-18,66
2011-07-19,112
2011-07-20,95
2011-07-21,1
2011-07-22,33
2011-07-24,28
2011-07-25,195
2011-07-26,184
2011-07-27,48
2011-07-28,50
2011-07-29,72
2011-07-31,534
2011-08-01,24
2011-08-02,40
2011-08-03,127
2011-08-04,198
2011-08-05,30
2011-08-07,26
2011-08-08,51
2011-08-09,144
2011-08-10,36
2011-08-11,27
2011-08-12,74
2011-08-14,3
2011-08-15,78
2011-08-16,51
2011-08-17,72
2011-08-18,1369
2011-08-19,72
2011-08-21,8
2011-08-22,72
2011-08-23,132
2011-08-24,78
2011-08-25,24
2011-08-26,197
2011-08-28,5
2011-08-30,39
2011-08-31,37
2011-09-01,75
2011-09-02,229
2011-09-04,79
2011-09-05,156
2011-09-06,37
2011-09-07,50
2011-09-08,122
2011-09-09,179
2011-09-11,168
2011-09-13,810
2011-09-14,36
2011-09-15,65
2011-09-16,41
2011-09-18,3
2011-09-19,362
2011-09-20,94
2011-09-21,230
2011-09-22,248
2011-09-23,83
2011-09-25,11
2011-09-26,28
2011-09-27,89
2011-09-28,34
2011-09-29,148
2011-09-30,49
2011-10-02,11
2011-10-03,26
2011-10-04,83
2011-10-05,24
2011-10-06,146
2011-10-07,186
2011-10-09,12
2011-10-10,105
2011-10-11,83
2011-10-12,73
2011-10-13,169
2011-10-14,45
2011-10-16,24
2011-10-17,278
2011-10-18,80
2011-10-20,72
2011-10-21,49
2011-10-23,28
2011-10-24,14
2011-10-25,61
2011-10-26,60
2011-10-27,61
2011-10-28,244
2011-10-30,81
2011-10-31,64
2011-11-01,28
2011-11-02,219
2011-11-03,529
2011-11-04,56
