ds,yhat,yhat_lower,yhat_upper
2011-11-05,191.24272486772506,0.0,385.81349364054654
2011-11-06,190.53902116402134,0.0,385.10978993684284
2011-11-07,189.83531746031764,0.0,384.40608623313915
2011-11-08,189.13161375661394,0.0,383.70238252943545
2011-11-09,188.42791005291025,0.0,382.99867882573176
2011-11-10,187.72420634920653,0.0,382.294975122028
2011-11-11,187.02050264550283,0.0,381.5912714183243
2011-11-12,186.31679894179914,0.0,380.8875677146206
2011-11-13,185.6130952380954,0.0,380.18386401091686
2011-11-14,184.90939153439172,0.0,379.48016030721317
2011-11-15,184.20568783068802,0.0,378.7764566035095
2011-11-16,183.5019841269843,0.0,378.0727528998058
2011-11-17,182.7982804232806,0.0,377.3690491961021
2011-11-18,182.0945767195769,0.0,376.6653454923984
2011-11-19,181.3908730158732,0.0,375.9616417886947
2011-11-20,180.6871693121695,0.0,375.257938084991
2011-11-21,179.9834656084658,0.0,374.5542343812873
2011-11-22,179.2797619047621,0.0,373.8505306775836
2011-11-23,178.57605820105837,0.0,373.14682697387985
2011-11-24,177.87235449735468,0.0,372.44312327017616
2011-11-25,177.16865079365098,0.0,371.73941956647246
2011-11-26,176.46494708994726,0.0,371.0357158627687
2011-11-27,175.76124338624356,0.0,370.332012159065
2011-11-28,175.05753968253987,0.0,369.6283084553613
2011-11-29,174.35383597883617,0.0,368.9246047516576
2011-11-30,173.65013227513245,0.0,368.22090104795393
2011-12-01,172.94642857142875,0.0,367.51719734425023
2011-12-02,172.24272486772506,0.0,366.81349364054654
2011-12-03,171.53902116402134,0.0,366.10978993684284
2011-12-04,170.83531746031764,0.0,365.40608623313915
