ds,yhat,yhat_lower,yhat_upper
2011-11-05,114.08597883597884,0.0,347.1299348823338
2011-11-06,116.49338624338624,0.0,349.5373422897413
2011-11-07,118.90079365079366,0.0,351.94474969714867
2011-11-08,121.30820105820106,0.0,354.3521571045561
2011-11-09,123.71560846560847,0.0,356.7595645119635
2011-11-10,126.12301587301587,0.0,359.1669719193709
2011-11-11,128.5304232804233,0.0,361.5743793267783
2011-11-12,130.93783068783068,0.0,363.9817867341857
2011-11-13,133.3452380952381,0.0,366.3891941415931
2011-11-14,135.75264550264552,0.0,368.79660154900057
2011-11-15,138.1600529100529,0.0,371.20400895640796
2011-11-16,140.56746031746033,0.0,373.61141636381535
2011-11-17,142.97486772486772,0.0,376.01882377122274
2011-11-18,145.38227513227514,0.0,378.42623117863013
2011-11-19,147.78968253968253,0.0,380.8336385860375
2011-11-20,150.19708994708995,0.0,383.24104599344497
2011-11-21,152.60449735449737,0.0,385.6484534008524
2011-11-22,155.01190476190476,0.0,388.0558608082598
2011-11-23,157.41931216931218,0.0,390.4632682156672
2011-11-24,159.8267195767196,0.0,392.8706756230746
2011-11-25,162.234126984127,0.0,395.278083030482
2011-11-26,164.64153439153438,0.0,397.68549043788937
2011-11-27,167.0489417989418,0.0,400.0928978452968
2011-11-28,169.45634920634922,0.0,402.50030525270427
2011-11-29,171.8637566137566,0.0,404.90771266011166
2011-11-30,174.27116402116403,0.0,407.31512006751905
2011-12-01,176.67857142857144,0.0,409.72252747492644
2011-12-02,179.08597883597884,0.0,412.1299348823338
2011-12-03,181.49338624338623,0.0,414.5373422897412
2011-12-04,183.90079365079367,0.0,416.9447496971487
