ds,yhat,yhat_lower,yhat_upper
2011-11-05,281.5114814814814,0.0,710.5910902394037
2011-11-06,301.9929629629629,0.0,731.0725717208852
2011-11-07,322.4744444444444,0.0,751.5540532023666
2011-11-08,342.95592592592584,0.0,772.035534683848
2011-11-09,363.4374074074073,0.0,792.5170161653296
2011-11-10,383.9188888888888,0.0,812.9984976468111
2011-11-11,404.4003703703703,0.0,833.4799791282926
2011-11-12,424.88185185185176,0.0,853.961460609774
2011-11-13,445.36333333333323,16.283724575410986,874.4429420912554
2011-11-14,465.84481481481475,36.76520605689251,894.9244235727369
2011-11-15,486.3262962962962,57.246687538373976,915.4059050542185
2011-11-16,506.8077777777777,77.72816901985544,935.8873865357
2011-11-17,527.2892592592591,98.20965050133685,956.3688680171813
2011-11-18,547.7707407407406,118.69113198281838,976.8503494986628
2011-11-19,568.2522222222221,139.1726134642999,997.3318309801443
2011-11-20,588.7337037037037,159.65409494578142,1017.8133124616259
2011-11-21,609.2151851851851,180.13557642726283,1038.2947939431074
2011-11-22,629.6966666666665,200.61705790874424,1058.7762754245887
2011-11-23,650.178148148148,221.09853939022577,1079.2577569060702
2011-11-24,670.6596296296295,241.5800208717073,1099.7392383875517
2011-11-25,691.1411111111111,262.0615023531888,1120.2207198690332
2011-11-26,711.6225925925926,282.54298383467034,1140.7022013505148
2011-11-27,732.104074074074,303.02446531615175,1161.1836828319963
2011-11-28,752.5855555555554,323.50594679763316,1181.6651643134776
2011-11-29,773.0670370370369,343.9874282791147,1202.146645794959
2011-11-30,793.5485185185184,364.4689097605962,1222.6281272764406
2011-12-01,814.03,384.9503912420777,1243.1096087579222
2011-12-02,834.5114814814815,405.43187272355925,1263.5910902394037
2011-12-03,854.9929629629628,425.91335420504055,1284.072571720885
2011-12-04,875.4744444444443,446.3948356865221,1304.5540532023665
