ds,yhat,yhat_lower,yhat_upper
2011-10-20,98.69280423280425,0.0,258.458605501494
2011-10-21,100.21132275132277,0.0,259.9771240200125
2011-10-22,101.72984126984129,0.0,261.49564253853106
2011-10-23,103.2483597883598,0.0,263.0141610570496
2011-10-24,104.76687830687833,0.0,264.53267957556807
2011-10-25,106.28539682539684,0.0,266.0511980940866
2011-10-26,107.80391534391536,0.0,267.56971661260513
2011-10-27,109.32243386243388,0.0,269.0882351311236
2011-10-28,110.8409523809524,0.0,270.60675364964214
2011-10-29,112.35947089947092,0.0,272.1252721681607
2011-10-30,113.87798941798944,0.0,273.6437906866792
2011-10-31,115.39650793650796,0.0,275.16230920519774
2011-11-01,116.91502645502646,0.0,276.6808277237162
2011-11-02,118.433544973545,0.0,278.19934624223475
2011-11-03,119.9520634920635,0.0,279.7178647607533
2011-11-04,121.47058201058204,0.0,281.23638327927176
2011-11-05,122.98910052910054,0.0,282.7549017977903
2011-11-06,124.50761904761907,0.0,284.27342031630883
2011-11-07,126.02613756613758,0.0,285.7919388348273
2011-11-08,127.54465608465611,0.0,287.3104573533459
2011-11-09,129.06317460317462,0.0,288.8289758718644
2011-11-10,130.58169312169315,0.0,290.3474943903829
2011-11-11,132.10021164021165,0.0,291.86601290890144
2011-11-12,133.61873015873016,0.0,293.3845314274199
2011-11-13,135.1372486772487,0.0,294.90304994593845
2011-11-14,136.65576719576723,0.0,296.421568464457
2011-11-15,138.17428571428573,0.0,297.94008698297546
2011-11-16,139.69280423280424,0.0,299.458605501494
2011-11-17,141.21132275132277,0.0,300.9771240200125
2011-11-18,142.7298412698413,0.0,302.49564253853106
